Usuario,Maquina do Usuario,Impressora,Status,Data e Hora
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:50:52
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:50:40
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:44:06
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:39:03
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:31:28
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 08:31:01
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 08:25:54
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 08:25:23
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:24:46
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:24:46
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 08:23:31
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 08:21:30
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 08:20:55
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 08:19:28
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:14:51
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 08:14:48
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,01/08/2024 22:04:10
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,01/08/2024 22:02:45
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:27:19
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:23:36
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:19:36
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:17:19
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:15:38
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:15:03
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:12:17
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:11:51
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:11:24
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:10:58
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:10:32
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:10:05
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:09:39
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:08:20
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:06:28
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:03:38
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 20:01:08
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 19:59:25
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 19:57:46
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 19:57:19
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 19:55:14
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,01/08/2024 19:52:07
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,01/08/2024 19:51:21
Administrator,\\PC0103,IMP-ADMINISTRACAO,Spooler Operation Succeeded,01/08/2024 19:38:31
dilciane.souza,PC0403,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,03/08/2024 19:57:46
