Usuario,Maquina do Usuario,Impressora,Status,Data e Hora
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:51:42
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:50:34
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:48:50
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:46:44
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:43:39
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:43:39
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:43:39
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:34:11
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:31:25
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:30:32
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:30:19
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:30:16
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:25:42
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:25:39
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:24:38
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:24:35
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:18:51
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:08:35
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:08:11
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:07:40
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:07:28
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:06:42
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 11:06:16
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 11:03:57
